N	#Chiiiaamo me acabo de dar cuenta que digitel no quiere ayudar a la gente con cancer las tarjetas dicen ( RECARGA Y DESTRUYE ESTA TARJETA ) :(
N	VAINAS que ODIO el mensaje de digitel informando la fecha de pago
P	#Tecnologia Digitel restaura sistemas en un 50% : ¡Café 412 ! El operador Digitel , tras un arduo esfuerzo , ha p ... http://t.co/dm8KLHODZ2
N	@fmonroy no solo movistar digitel el BAN de internet no funciona desde esta mañana
P	RT @WilmerSolano : #Digitel logra recaudar cerca de 10 Millones de Bolívares para @FeyAlegriaVE http://t.co/9lsxKOId3L #RSE #RSC #CSR
N	RT @Anaisolina : @NicolasMaduro en las oficinas digitel en valencia no le permiten comprar linea de celular ni equipo a los medicos cubanos
P	@BastardoQuotes Tienes chance de cambiarte a Digitel .
N	Dime ... Mala señal #Digitel http://t.co/PxOVeXq8OW
N	@edmundoruf Hola amigo ! Quisiera saber porque Digitel no termina de sacar a la venta los iPhone 5 ? Gracias
N	@MariaElePerez cambiese a Movinet q es del Estado y mandepalaverga a Digitel
N	RT @MariaElePerez : La verdad es que DIGITEL cada día más malo , mal recepción , no tengo para navegar hoy !!!
P	Si tuviera los ovarios para decirte que me encantas y ... — Aaajajaja cooño ten los ovarios y dilo todo con digitel . http://t.co/CZKZOdd7sQ
P	RT @MeFumounCigarro : Me regalo 2 tarjetas Digitel , no es interes es bella : $
N	@LaHojillaenTV @durancandanga Hay que estar pendiente , ya q digitel tambien esta en esto ... o alguien quiere ponernos a pelear ..
N	RT @Ojitosscafe : Últimamente la señal de Digitel ha estado de un asco mi pana .
N	@DigiExperto @alejoarriaga horrible señal digitel en varios ptos de sta monica y chaguaramos . no es por el incendio , tiene meses asi !!!
N	Donde queda Cantv ?" @JLCova : El BAM de DIGITEL es de lo Peor !!!"
N	@la_iguanatv @maperezpirela tambien sabotean la telefonia y el internet movil digitel y movistar . No quiero imaginar el 14A .
N	RT @theopg : ¿Qué excusa tiene hoy Digitel para explicar su señal ? ¿Qué unos marcianos hicieron pupu en las antenas ?
N	RT @UNoticias : VIDEO : Maduro : La prostitución es culpa de las series gringas y el capitalismo http://t.co/7vMmrBaMMG
N	Cargo el digitel mio !!! Se me jodio este bb q ' tenia dos meses conmigo ! Si no trabajaran con el pin !! Q ' basura de telefonos ...
N	RT @yorman0311 : Camarada Mario tambien hay q estar alerta con la telefonia , digitel y movistar nos deja sin internet movil , imposible tuitear @LaHojillaenTV
N	Odio a Digitel ... Lo ODIO Con toda mi alma .
N	@blackrock_1 jajaja mi negro cambie de numero Digitel es una xqueria !
N	RT @anyoly0311 : Dsd est momnto pndient tods ps mientras + c acerk el 14A nos iran quitando poco a poco la comunicación . Digitel y Movistar ya han empezado "
